Rank,BGGid,Name,Price
1,174430,Gloomhaven,187.75
2,161936,Pandemic Legacy: Season 1,44.99
3,224517,Brass: Birmingham,59.99
4,167791,Terraforming Mars,59.47
5,233078,Twilight Imperium: Fourth Edition,151.99
6,291457,Gloomhaven: Jaws of the Lion,49.99
7,220308,Gaia Project,79.97
8,187645,Star Wars: Rebellion,95.99
9,182028,Through the Ages: A New Story of Civilization,69.95
10,115746,War of the Ring: Second Edition,89.97
11,162886,Spirit Island,48.97
12,193738,Great Western Trail,35.46
13,12333,Twilight Struggle,58.99
14,169786,Scythe,84
15,84876,The Castles of Burgundy,34.39
16,173346,7 Wonders Duel,29.59
17,167355,Nemesis,127.99
18,120677,Terra Mystica,42.99
19,124361,Concordia,48.97
20,28720,Brass: Lancashire,39.99
21,177736,A Feast for Odin,87.99
22,266192,Wingspan,55
23,316554,Dune: Imperium,44.99
24,205637,Arkham Horror: The Card Game,55.99
25,183394,Viticulture Essential Edition,52
26,164928,Orléans,42.49
27,237182,Root,48
28,96848,Mage Knight Board Game,54.99
29,199792,Everdell,79.99
30,3076,Puerto Rico,24.99
31,175914,Food Chain Magnate,129
32,102794,Caverna: The Cave Farmers,72.77
33,170216,Blood Rage,79.99
34,266507,Clank!: Legacy – Acquisitions Incorporated,89.99
35,31260,Agricola,51.99
36,276025,Maracaibo,54.97
37,285774,Marvel Champions: The Card Game,55.99
38,192135,Too Many Bones,134.99
39,221107,Pandemic Legacy: Season 2,71.99
40,205059,Mansions of Madness: Second Edition,95.99
41,312484,Lost Ruins of Arnak,49.95
42,284083,The Crew: The Quest for Planet Nine,11.97
43,251247,Barrage,67.47
44,247763,Underwater Cities,74.95
45,185343,Anachrony,84.65
46,246900,Eclipse: Second Dawn for the Galaxy,179.99
47,126163,Tzolk'in: The Mayan Calendar,49.95
48,2651,Power Grid,37.47
49,180263,The 7th Continent,57.48
50,55690,Kingdom Death: Monster,656.69
51,216132,Clans of Caledonia,75.92
53,164153,Star Wars: Imperial Assault,95.99
54,35677,Le Havre,84
55,256960,Pax Pamir: Second Edition,84.99
56,184267,On Mars,111.99
57,230802,Azul,31.99
58,125153,The Gallerist,103.99
59,72125,Eclipse,65.99
60,25613,Through the Ages: A Story of Civilization,49.99
61,161533,Lisboa,129.99
62,191189,Aeon's End,43.99
64,124742,Android: Netrunner,34.95
65,521,Crokinole,202.61
66,159675,Fields of Arle,59.99
67,28143,Race for the Galaxy,23.99
68,266810,Paladins of the West Kingdom,41.99
70,201808,Clank!: A Deck-Building Adventure,60
71,171623,The Voyages of Marco Polo,149.99
72,229853,Teotihuacan: City of Gods,44.97
73,68448,7 Wonders,24.36
74,157354,Five Tribes,57.59
75,200680,Agricola (Revised Edition),57.12
76,62219,Dominant Species,67.99
77,110327,Lords of Waterdeep,28.26
78,182874,Grand Austria Hotel,59.99
79,122515,Keyflower,55.99
80,264220,Tainted Grail: The Fall of Avalon,89.97
81,236457,Architects of the West Kingdom,45
82,93,El Grande,43.99
83,18602,Caylus,38.99
84,37111,Battlestar Galactica: The Board Game,33.99
85,12493,Twilight Imperium: Third Edition,69.99
86,73439,Troyes,49.99
87,40834,Dominion: Intrigue,79.99
88,146021,Eldritch Horror,63.99
89,172386,Mombasa,46.08
90,269385,The Lord of the Rings: Journeys in Middle-Earth,95.99
91,205896,Rising Sun,99.99
92,170042,Raiders of the North Sea,70.59
93,314040,Pandemic Legacy: Season 0,69.99
94,163412,Patchwork,23.99
95,144733,Russian Railroads,41.99
96,42,Tigris & Euphrates,59.95
97,203993,Lorenzo il Magnifico,44.95
98,281259,The Isle of Cats,34.97
99,102680,Trajan,39
100,225694,Decrypto,18.38
101,178900,Codenames,24.99
102,132531,Roll for the Galaxy,44.97
103,155821,Inis,63.99
104,36218,Dominion,30.06
105,30549,Pandemic,39.99
106,233371,Clank! In! Space!: A Deck-Building Adventure,49.98
107,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,37.15
108,172287,Champions of Midgard,41.97
109,196340,Yokohama,44.97
110,198928,Pandemic: Iberia,43.99
111,218417,Aeon's End: War Eternal,47.99
112,127023,Kemet,66.69
113,175155,Forbidden Stars,62.34
114,263918,Cartographers,22.47
115,175640,Vinhos Deluxe Edition,95.99
116,266524,PARKS,48.99
117,163068,Trickerion: Legends of Illusion,50.99
118,262712,Res Arcana,35.99
119,161970,Alchemists,49.99
120,103885,Star Wars: X-Wing Miniatures Game,31.99
121,146652,Legendary Encounters: An Alien Deck Building Game,51.38
122,233398,Endeavor: Age of Sail,49.99
123,147020,Star Realms,12.75
124,34635,Stone Age,43.99
125,4098,Age of Steam,24.99
126,253344,Cthulhu: Death May Die,99.99
127,118048,Targi,14.48
128,14996,Ticket to Ride: Europe,47.99
129,148949,Istanbul,34.99
130,271324,It's a Wonderful World,60
131,233867,Welcome To...,23.99
132,43015,Hansa Teutonica,24.45
133,274364,Watergate,27.97
134,104162,Descent: Journeys in the Dark (Second Edition),93.98
135,244522,That's Pretty Clever!,24.29
137,77423,The Lord of the Rings: The Card Game,53.95
138,43111,Chaos in the Old World,149.99
139,284378,Kanban EV,119.99
140,287954,Azul: Summer Pavilion,19.99
141,150376,Dead of Winter: A Crossroads Game,63.99
142,82222,Xia: Legends of a Drift System,199.99
143,54043,Jaipur,21.59
144,220877,Rajas of the Ganges,41.99
145,17133,Railways of the World,91.99
146,128882,The Resistance: Avalon,18.47
147,10630,Memoir '44,55.99
148,217372,The Quest for El Dorado,39.97
149,254640,Just One,19.99
150,155426,Castles of Mad King Ludwig,52.47
151,221194,Dinosaur Island,44.97
152,70149,Ora et Labora,49.97
153,103343,A Game of Thrones: The Board Game (Second Edition),59.99
154,283948,Marco Polo II: In the Service of the Khan,155.24
156,39463,Cosmic Encounter,56.49
157,188920,This War of Mine: The Board Game,61.99
158,282524,Horrified,29.99
159,199561,Sagrada,29.97
160,14105,Commands & Colors: Ancients,48.47
161,25021,Sekigahara: The Unification of Japan,60.47
162,123260,Suburbia,41.99
163,31627,Ticket to Ride: Nordic Countries,47.99
164,195421,Near and Far,84.99
165,223321,Detective: A Modern Crime Board Game,34.97
166,104006,Village,35.37
167,21050,Combat Commander: Europe,69.47
168,256916,Concordia Venus,67.99
169,171131,Captain Sonar,48.79
170,126042,Nations,60.99
171,239188,Chronicles of Crime,32
172,296151,Viscounts of the West Kingdom,38.99
173,91,Paths of Glory,92.94
174,265188,Glen More II: Chronicles,71.97
175,224037,Codenames: Duet,15.97
176,182631,Star Realms: Colony Wars,12.97
177,245638,Coimbra,55.99
178,283155,Calico,31.99
179,146508,T.I.M.E Stories,47.99
180,148228,Splendor,31.99
181,215,Tichu,11.47
183,146886,La Granja,38.99
184,308765,Praga Caput Regni,24.97
185,189932,Tyrants of the Underdark,47.97
186,12,Ra,21.95
187,822,Carcassonne,31.99
188,9209,Ticket to Ride,39.99
189,317985,Beyond the Sun,60.99
190,194655,Santorini,50
191,176189,Zombicide: Black Plague,95.99
193,129437,Legendary: A Marvel Deck Building Game,43.49
194,54998,Cyclades,59.46
195,249259,War Chest,39.99
196,242302,Space Base,35.99
197,188834,Secret Hitler,41.47
